dia,userAdmin,evento
2017-01-09,thiago,Criação de usuário
2017-01-09,thiago,Senha temporária visualizada
2017-02-09,tom,Criação de usuário
2017-02-09,tom,Senha temporária visualizada
2017-04-23,tom,Alteração da senha no próximo login
2017-04-23,tom,Alteração de senha
2017-04-23,tom,Senha temporária visualizada
2017-04-23,tom,Senha temporária visualizada
2017-05-10,peter,Usar o Gerenciamento Google dos dispositivos móveis
2017-05-10,tom,Atribuição de função
2017-05-20,peter,Pesquisa de registro de e-mail